# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_1f66bce6668_model
# start_datetime = 2023-01-05 19:42:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/Rtmp5HTisb/standata-1f62f65d9e7.json
# init = 2 (Default)
# random
#   seed = 1261831243
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-202301051942-2-6b75c8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_52478221b64ec96f8120c5c459f578ab-profile-202301051942-2-4fbba7.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.472107
# Diagonal elements of inverse mass matrix:
# 0.00093735, 7.15041e-05, 0.00927371, 0.0165994, 0.00951441, 0.00177619, 0.0134775, 0.00107767, 0.00227004, 0.00191739, 1.53874e-05
-408609,0.906237,0.472107,3,7,0,408611,-0.0194269,-0.182269,-0.106517,-0.00180486,0.135757,0.759916,2.85151,1.02546,-0.704768,45.1689,14.3727,45.2598
-408608,0.907061,0.472107,3,7,0,408615,0.00879247,-0.190084,0.141695,-0.282099,0.0926745,0.752211,2.88491,1.00338,-0.58293,45.0545,14.4097,45.2224
-408608,0.575388,0.472107,2,7,0,408617,-0.00749056,-0.192329,-0.0842198,-0.0741998,-0.0485662,0.778291,2.74137,1.01452,-0.619871,45.1179,14.4065,45.3917
-408614,0.612267,0.472107,3,7,0,408619,-0.0178607,-0.170313,0.0707998,-0.0115317,0.229731,0.681624,2.91788,1.03386,-0.614799,45.1332,14.363,44.7374
-408615,0.994606,0.472107,3,7,0,408620,0.066049,-0.192833,0.128631,0.181268,0.0868338,0.702286,2.93336,1.04588,-0.705802,45.098,14.4699,45.4021
-408615,0.988088,0.472107,3,7,0,408623,-0.0824671,-0.189889,-0.123928,-0.395455,0.0272334,0.809869,3.01953,1.02289,-0.519945,45.0954,14.3917,44.9668
-408612,0.938557,0.472107,3,7,0,408622,0.0563813,-0.197039,0.133152,-0.0918254,0.0688916,0.648053,2.88835,1.07868,-0.731895,45.0837,14.3908,45.9214
-408611,0.991569,0.472107,3,7,0,408618,-0.0351964,-0.188383,-0.109832,-0.180449,0.326354,0.782646,2.90577,0.989543,-0.663254,45.1689,14.4351,45.3413
-408610,0.966778,0.472107,3,7,0,408615,-0.0424858,-0.195878,0.0354549,-0.235039,-0.0832079,0.708633,2.77556,1.08273,-0.697969,45.1202,14.3772,45.8626
-408608,0.762501,0.472107,3,7,0,408617,0.0122038,-0.190503,0.0631382,0.0149413,0.17165,0.749433,2.78342,1.00718,-0.603149,45.0944,14.4439,45.1262
-408607,1,0.472107,3,7,0,408609,0.0153923,-0.185565,0.0505109,-0.0665983,0.120215,0.741053,2.83097,1.01095,-0.579798,45.1025,14.3797,45.0241
-408608,0.948691,0.472107,4,15,0,408612,-0.0584695,-0.196179,-0.0613632,-0.199838,-0.0143733,0.710622,2.85348,1.0506,-0.698563,45.0996,14.3821,45.8875
-408609,0.875185,0.472107,4,15,0,408614,0.0307065,-0.183409,0.112072,-0.0914753,0.109445,0.76461,2.85321,1.02775,-0.58327,45.1328,14.3751,44.8573
